Hotel Name,Location,Amenities,Distance from City Center (km),Type of Room,Hotel Star Rating,Customer Rating,Check-in Time,Check-out Time,Day of the Week,Is Public Holiday,Is Tourism Zone,Google Trends Score,Hotel Price (INR)
Hotel Sunrise 11,Pune,"Airport Shuttle, Pool, Free WiFi, Pet Friendly",4.24,Suite,5,4.4,1:00 PM,12:00 PM,Wednesday,1,1,64,5857
Hotel Metro 93,Pune,"Business Center, Free WiFi, Restaurant, Bar",10.16,Standard,4,3.1,12:00 PM,2:00 PM,Friday,0,0,40,4294
Hotel Euphoria 20,Bangalore,"Spa, Pool, Parking, Restaurant, Pet Friendly",21.11,Presidential Suite,3,4.6,1:00 PM,12:00 PM,Wednesday,0,1,53,3711
Hotel Sapphire 84,Kolkata,"Bar, Pool, Pet Friendly, Free WiFi, Airport Shuttle",14.32,Executive,3,3.8,12:00 PM,12:00 PM,Wednesday,0,0,26,3619
Hotel Horizon 67,Goa,"Pool, Bar, Pet Friendly, Restaurant",9.49,Deluxe,4,4.2,12:00 PM,2:00 PM,Sunday,0,1,20,4486
Hotel Bliss 85,Pune,"Pool, Pet Friendly, Spa, Parking",17.82,Standard,2,2.9,11:00 AM,1:00 PM,Wednesday,1,0,82,1882
Hotel Palm 83,Chennai,"Free WiFi, Gym, Spa, Restaurant",6.39,Presidential Suite,3,2.6,11:00 AM,2:00 PM,Tuesday,0,1,61,3742
Hotel Vista 1,Delhi,"Business Center, Gym",22.81,Deluxe,4,4.1,11:00 AM,2:00 PM,Monday,0,1,67,4347
Hotel Moonlight 32,Delhi,"Free WiFi, Pool",4.62,Suite,3,4.8,11:00 AM,11:00 AM,Monday,1,1,55,4173
Hotel Regency 57,Bangalore,"Parking, Pet Friendly",11.73,Standard,2,4.9,11:00 AM,11:00 AM,Sunday,0,1,34,2802
Hotel Oasis 59,Hyderabad,"Airport Shuttle, Parking, Free WiFi, Pool, Pet Friendly",24.18,Presidential Suite,4,3.3,11:00 AM,2:00 PM,Thursday,1,1,80,4059
Hotel Grand 6,Kolkata,"Business Center, Parking",3.9,Presidential Suite,2,3.9,11:00 AM,2:00 PM,Saturday,0,1,38,2220
Hotel Vista 67,Chennai,"Spa, Gym, Pet Friendly",22.2,Deluxe,3,2.6,2:00 PM,2:00 PM,Thursday,0,0,78,3501
Hotel Bliss 97,Goa,"Free WiFi, Restaurant, Airport Shuttle",17.9,Executive,5,4.3,12:00 PM,12:00 PM,Wednesday,1,0,28,5104
Hotel Heritage 17,Ahmedabad,"Restaurant, Bar, Airport Shuttle, Parking",14.21,Suite,3,2.5,12:00 PM,2:00 PM,Sunday,0,1,54,2780
Hotel Lagoon 52,Pune,"Pet Friendly, Business Center",19.27,Presidential Suite,2,3.2,12:00 PM,11:00 AM,Wednesday,0,0,75,1922
Hotel Bliss 48,Pune,"Gym, Bar, Spa, Airport Shuttle",4.07,Executive,3,3.5,1:00 PM,2:00 PM,Wednesday,1,0,28,3925
Hotel Palm 80,Delhi,"Pool, Restaurant, Bar, Free WiFi",1.03,Executive,3,2.5,2:00 PM,11:00 AM,Sunday,1,1,49,3761
Hotel Royal 39,Pune,"Spa, Pet Friendly",16.14,Suite,4,4.5,1:00 PM,1:00 PM,Friday,1,0,90,4651
Hotel Vista 20,Ahmedabad,"Gym, Restaurant, Airport Shuttle, Free WiFi",6.72,Executive,2,4.5,2:00 PM,2:00 PM,Sunday,1,1,87,2882
Hotel Oasis 66,Bangalore,"Parking, Pool",2.8,Standard,2,2.7,2:00 PM,1:00 PM,Wednesday,0,1,27,2839
Hotel Sapphire 45,Pune,"Bar, Pet Friendly, Parking",6.95,Executive,2,3.5,11:00 AM,2:00 PM,Thursday,0,1,76,3039
Hotel Magnolia 14,Kolkata,"Spa, Pool, Pet Friendly, Free WiFi",22.34,Executive,5,3.3,1:00 PM,2:00 PM,Saturday,0,1,30,4973
Hotel Plaza 40,Delhi,"Pet Friendly, Gym, Pool, Business Center, Bar",16.53,Deluxe,2,4.8,12:00 PM,12:00 PM,Monday,1,0,55,2626
Hotel Euphoria 97,Mumbai,"Business Center, Pool, Gym",12.09,Executive,3,3.7,12:00 PM,11:00 AM,Thursday,1,0,46,3841
Hotel Horizon 82,Kolkata,"Bar, Airport Shuttle",19.04,Presidential Suite,2,3.0,11:00 AM,11:00 AM,Tuesday,0,0,22,2626
Hotel Metro 40,Chennai,"Free WiFi, Business Center, Spa, Parking",19.93,Suite,2,3.7,2:00 PM,11:00 AM,Wednesday,0,1,63,2148
Hotel Oasis 64,Bangalore,"Gym, Parking, Bar, Airport Shuttle",14.9,Deluxe,5,2.7,2:00 PM,11:00 AM,Saturday,1,1,94,4971
Hotel Lagoon 91,Delhi,"Pet Friendly, Spa, Airport Shuttle, Free WiFi",15.7,Suite,2,4.7,2:00 PM,12:00 PM,Monday,1,0,36,2532
Hotel Grand 55,Kolkata,"Pool, Parking",19.79,Executive,4,3.8,12:00 PM,12:00 PM,Wednesday,1,1,77,4512
Hotel Regency 90,Delhi,"Free WiFi, Spa",21.86,Suite,3,2.9,2:00 PM,12:00 PM,Thursday,0,1,57,2687
Hotel Bliss 30,Ahmedabad,"Restaurant, Airport Shuttle, Business Center, Pet Friendly, Gym",18.36,Executive,4,2.9,12:00 PM,11:00 AM,Friday,1,0,72,4502
Hotel Royal 98,Jaipur,"Parking, Free WiFi, Pet Friendly, Airport Shuttle, Restaurant",18.64,Executive,5,3.5,12:00 PM,12:00 PM,Thursday,1,0,93,5125
Hotel Moonlight 16,Pune,"Bar, Business Center",8.29,Presidential Suite,4,2.8,11:00 AM,12:00 PM,Monday,0,1,86,4457
Hotel Crimson 58,Kolkata,"Business Center, Airport Shuttle, Pool, Free WiFi",15.24,Suite,4,3.1,12:00 PM,12:00 PM,Monday,1,1,27,4462
Hotel Regency 18,Chennai,"Free WiFi, Restaurant, Gym, Spa, Parking",18.91,Deluxe,3,3.9,11:00 AM,11:00 AM,Thursday,1,1,44,3755
Hotel Metro 72,Delhi,"Pet Friendly, Bar, Airport Shuttle",18.31,Executive,2,3.1,12:00 PM,1:00 PM,Saturday,1,1,86,2491
Hotel Serenity 17,Mumbai,"Pet Friendly, Pool, Parking",22.56,Presidential Suite,4,2.8,2:00 PM,1:00 PM,Sunday,0,0,82,3630
Hotel Regency 95,Jaipur,"Restaurant, Pool, Gym",9.55,Presidential Suite,2,4.8,1:00 PM,2:00 PM,Saturday,0,0,74,2567
Hotel Moonlight 14,Ahmedabad,"Airport Shuttle, Business Center, Restaurant, Free WiFi, Pet Friendly",21.22,Deluxe,3,4.4,12:00 PM,12:00 PM,Monday,0,1,26,3227
Hotel Euphoria 3,Hyderabad,"Pet Friendly, Bar",21.67,Presidential Suite,4,2.5,1:00 PM,1:00 PM,Thursday,1,0,21,3608
Hotel Regency 12,Bangalore,"Business Center, Parking",8.33,Executive,5,3.3,2:00 PM,11:00 AM,Friday,0,0,68,5137
Hotel Palm 40,Chennai,"Free WiFi, Pool, Restaurant, Spa",19.01,Standard,5,3.7,12:00 PM,12:00 PM,Thursday,1,1,93,5308
Hotel Sapphire 12,Mumbai,"Pool, Business Center, Spa",6.39,Executive,2,4.4,12:00 PM,2:00 PM,Tuesday,1,0,95,2933
Hotel Plaza 63,Goa,"Pet Friendly, Bar, Restaurant, Pool",11.6,Deluxe,2,3.7,1:00 PM,2:00 PM,Thursday,0,0,84,2020
Hotel Magnolia 66,Bangalore,"Gym, Pool, Restaurant",22.73,Suite,3,3.1,11:00 AM,12:00 PM,Wednesday,1,0,29,3156
Hotel Sapphire 2,Pune,"Bar, Free WiFi, Business Center, Pet Friendly, Gym",21.58,Presidential Suite,3,3.1,11:00 AM,12:00 PM,Monday,1,1,37,2763
Hotel Vista 29,Goa,"Free WiFi, Pet Friendly, Business Center, Spa, Airport Shuttle",1.12,Deluxe,4,3.3,1:00 PM,1:00 PM,Tuesday,0,0,83,4278
Hotel Lagoon 57,Jaipur,"Restaurant, Spa, Pool, Parking",4.37,Executive,2,4.3,12:00 PM,2:00 PM,Monday,1,1,46,3155
Hotel Serenity 59,Chennai,"Free WiFi, Airport Shuttle, Restaurant, Pet Friendly",23.08,Deluxe,4,4.0,12:00 PM,1:00 PM,Friday,1,0,29,4445
Hotel Plaza 2,Kolkata,"Spa, Business Center, Restaurant, Pet Friendly",15.84,Suite,4,2.9,2:00 PM,11:00 AM,Saturday,0,0,25,4434
Hotel Crimson 75,Bangalore,"Pool, Parking",8.29,Presidential Suite,2,4.5,2:00 PM,1:00 PM,Monday,0,0,81,3204
Hotel Magnolia 66,Jaipur,"Bar, Pool, Airport Shuttle, Restaurant, Spa",21.13,Suite,4,4.4,1:00 PM,12:00 PM,Saturday,0,1,29,4486
Hotel Bliss 90,Ahmedabad,"Parking, Pet Friendly, Bar",20.12,Executive,4,4.6,2:00 PM,11:00 AM,Monday,1,0,80,4570
Hotel Royal 73,Hyderabad,"Business Center, Bar",10.63,Executive,5,4.0,2:00 PM,1:00 PM,Monday,1,1,67,5413
Hotel Crimson 46,Ahmedabad,"Pool, Business Center, Parking, Spa, Free WiFi",15.33,Standard,2,2.9,11:00 AM,1:00 PM,Wednesday,0,0,88,2171
Hotel Regency 47,Goa,"Parking, Spa, Pool, Airport Shuttle",19.94,Executive,3,4.3,1:00 PM,2:00 PM,Sunday,1,1,87,3360
Hotel Bliss 99,Goa,"Restaurant, Pet Friendly, Free WiFi",2.36,Standard,4,4.7,2:00 PM,11:00 AM,Wednesday,1,0,73,4834
Hotel Royal 4,Goa,"Airport Shuttle, Pet Friendly, Bar, Spa, Pool",13.76,Suite,2,2.8,12:00 PM,12:00 PM,Sunday,1,1,98,1810
Hotel Palm 30,Jaipur,"Pet Friendly, Free WiFi, Spa",20.81,Suite,2,4.3,1:00 PM,12:00 PM,Sunday,1,1,83,2505
Hotel Regency 54,Chennai,"Parking, Spa",9.68,Presidential Suite,4,3.5,1:00 PM,1:00 PM,Friday,1,1,55,4845
Hotel Euphoria 86,Hyderabad,"Parking, Pool, Restaurant, Airport Shuttle, Spa",15.54,Deluxe,2,4.6,12:00 PM,1:00 PM,Tuesday,0,1,35,2166
Hotel Palm 23,Mumbai,"Business Center, Restaurant, Airport Shuttle",18.77,Deluxe,2,4.9,2:00 PM,2:00 PM,Monday,0,1,41,2205
Hotel Vista 88,Goa,"Airport Shuttle, Pet Friendly, Bar",15.19,Presidential Suite,4,4.0,12:00 PM,1:00 PM,Wednesday,1,0,56,4828
Hotel Serenity 21,Jaipur,"Parking, Spa, Airport Shuttle, Pet Friendly, Bar",3.23,Standard,5,2.5,1:00 PM,1:00 PM,Wednesday,1,1,47,5401
Hotel Crimson 25,Hyderabad,"Airport Shuttle, Free WiFi, Gym",12.51,Standard,2,2.9,1:00 PM,12:00 PM,Saturday,1,1,48,2269
Hotel Horizon 86,Pune,"Free WiFi, Airport Shuttle, Restaurant",4.02,Standard,3,2.8,12:00 PM,1:00 PM,Tuesday,1,1,55,3771
Hotel Metro 25,Pune,"Business Center, Pet Friendly, Spa, Airport Shuttle, Bar",13.2,Deluxe,2,4.3,2:00 PM,1:00 PM,Tuesday,0,1,47,2580
Hotel Oasis 5,Goa,"Business Center, Pet Friendly, Airport Shuttle, Bar, Parking",13.63,Standard,4,2.7,12:00 PM,2:00 PM,Thursday,0,0,94,4648
Hotel Sapphire 78,Kolkata,"Pool, Airport Shuttle, Spa, Free WiFi, Gym",16.44,Suite,2,4.6,1:00 PM,1:00 PM,Sunday,0,0,92,2455
Hotel Magnolia 98,Pune,"Restaurant, Free WiFi, Business Center, Pet Friendly",4.88,Deluxe,5,4.8,12:00 PM,11:00 AM,Saturday,1,1,77,5761
Hotel Magnolia 1,Ahmedabad,"Pet Friendly, Pool, Spa",12.81,Executive,2,3.6,12:00 PM,11:00 AM,Tuesday,0,0,26,2640
Hotel Lagoon 95,Goa,"Restaurant, Business Center, Pet Friendly, Parking, Gym",17.55,Standard,3,4.7,11:00 AM,2:00 PM,Tuesday,1,1,71,3177
Hotel Royal 66,Goa,"Parking, Gym, Business Center, Bar",24.47,Suite,2,2.7,11:00 AM,1:00 PM,Monday,0,0,46,1948
Hotel Vista 89,Mumbai,"Spa, Pet Friendly, Free WiFi, Pool",14.67,Suite,2,3.5,11:00 AM,11:00 AM,Friday,0,0,49,2161
Hotel Emerald 24,Goa,"Restaurant, Parking, Business Center",9.2,Suite,3,4.4,2:00 PM,11:00 AM,Monday,1,0,93,3987
Hotel Royal 74,Mumbai,"Gym, Business Center, Spa, Free WiFi, Pool",5.43,Presidential Suite,3,2.8,2:00 PM,12:00 PM,Wednesday,1,0,98,3448
Hotel Serenity 46,Goa,"Gym, Business Center, Free WiFi, Airport Shuttle",18.81,Deluxe,3,3.6,12:00 PM,11:00 AM,Friday,0,1,21,3639
Hotel Grand 82,Chennai,"Parking, Gym, Pool, Bar, Airport Shuttle",13.66,Deluxe,3,4.7,1:00 PM,2:00 PM,Saturday,0,0,61,4059
Hotel Grand 20,Delhi,"Business Center, Restaurant",20.35,Executive,4,4.1,1:00 PM,12:00 PM,Tuesday,0,1,58,4643
Hotel Sapphire 93,Ahmedabad,"Free WiFi, Airport Shuttle",18.78,Executive,3,3.7,12:00 PM,12:00 PM,Saturday,0,1,42,3053
Hotel Serenity 21,Pune,"Pet Friendly, Bar",5.61,Presidential Suite,2,3.7,12:00 PM,2:00 PM,Tuesday,0,1,68,2473
Hotel Serenity 8,Ahmedabad,"Pool, Pet Friendly, Gym, Business Center, Airport Shuttle",18.74,Presidential Suite,3,4.7,12:00 PM,11:00 AM,Saturday,0,0,33,3670
Hotel Grand 17,Jaipur,"Gym, Restaurant, Pet Friendly",6.71,Deluxe,3,3.5,2:00 PM,12:00 PM,Sunday,0,1,29,3409
Hotel Lagoon 29,Hyderabad,"Restaurant, Airport Shuttle, Spa",13.14,Standard,3,2.5,1:00 PM,11:00 AM,Wednesday,1,1,23,2822
Hotel Palm 36,Ahmedabad,"Free WiFi, Airport Shuttle",24.46,Deluxe,4,4.4,12:00 PM,11:00 AM,Saturday,0,0,48,4228
Hotel Sapphire 10,Delhi,"Airport Shuttle, Business Center",18.82,Suite,4,2.8,12:00 PM,12:00 PM,Tuesday,0,0,74,3745
Hotel Grand 85,Bangalore,"Pet Friendly, Spa, Gym, Restaurant, Airport Shuttle",24.24,Presidential Suite,2,4.1,11:00 AM,11:00 AM,Thursday,1,0,58,2747
Hotel Metro 25,Hyderabad,"Parking, Restaurant",14.13,Deluxe,3,3.7,1:00 PM,1:00 PM,Wednesday,0,0,56,3729
Hotel Moonlight 73,Ahmedabad,"Spa, Bar, Pet Friendly, Restaurant",8.88,Suite,3,3.3,12:00 PM,2:00 PM,Sunday,1,0,59,3314
Hotel Crimson 35,Delhi,"Restaurant, Parking, Airport Shuttle, Business Center, Gym",15.92,Suite,5,4.3,1:00 PM,1:00 PM,Tuesday,1,0,77,5704
Hotel Palm 92,Mumbai,"Spa, Bar, Restaurant",21.41,Presidential Suite,2,4.4,2:00 PM,1:00 PM,Thursday,1,1,39,2587
Hotel Plaza 11,Delhi,"Free WiFi, Business Center, Airport Shuttle",23.08,Standard,5,4.8,2:00 PM,1:00 PM,Friday,0,1,83,5184
Hotel Bliss 3,Mumbai,"Spa, Restaurant, Free WiFi, Airport Shuttle",12.07,Standard,3,4.6,11:00 AM,1:00 PM,Wednesday,1,0,97,3472
Hotel Bliss 38,Bangalore,"Pet Friendly, Parking, Spa, Bar",5.78,Presidential Suite,5,2.6,2:00 PM,12:00 PM,Monday,0,1,71,5251
Hotel Sapphire 73,Pune,"Business Center, Restaurant, Airport Shuttle, Pool, Spa",18.83,Standard,2,2.7,11:00 AM,2:00 PM,Tuesday,0,0,79,1671
Hotel Palm 12,Pune,"Free WiFi, Bar, Pool",16.06,Deluxe,4,4.0,12:00 PM,1:00 PM,Thursday,0,1,85,4184
Hotel Oasis 53,Hyderabad,"Restaurant, Airport Shuttle, Gym, Parking",11.21,Executive,3,4.6,11:00 AM,1:00 PM,Thursday,0,1,25,3721
Hotel Emerald 65,Pune,"Pet Friendly, Gym, Parking",8.35,Executive,5,5.0,12:00 PM,12:00 PM,Tuesday,0,1,44,5969
Hotel Metro 60,Pune,"Parking, Pet Friendly, Restaurant",22.53,Suite,5,3.9,2:00 PM,11:00 AM,Friday,0,1,35,4832
Hotel Metro 14,Pune,"Spa, Parking, Gym, Pet Friendly",3.05,Presidential Suite,2,2.9,11:00 AM,2:00 PM,Sunday,0,0,63,2861
Hotel Emerald 59,Delhi,"Pool, Spa, Bar, Airport Shuttle, Free WiFi",5.62,Presidential Suite,5,5.0,11:00 AM,2:00 PM,Friday,0,1,38,6151
Hotel Bliss 17,Delhi,"Spa, Restaurant, Airport Shuttle, Bar, Pool",3.56,Presidential Suite,5,2.9,1:00 PM,11:00 AM,Friday,0,0,34,5971
Hotel Oasis 53,Hyderabad,"Business Center, Bar, Airport Shuttle, Gym",13.61,Standard,3,2.9,11:00 AM,12:00 PM,Monday,0,0,56,3210
Hotel Lagoon 96,Ahmedabad,"Free WiFi, Pool, Parking, Restaurant, Bar",6.27,Executive,4,3.7,11:00 AM,12:00 PM,Monday,0,1,86,4957
Hotel Horizon 59,Ahmedabad,"Pet Friendly, Business Center, Bar, Spa",3.82,Executive,2,3.8,1:00 PM,2:00 PM,Wednesday,0,0,47,2708
Hotel Bliss 2,Bangalore,"Gym, Spa, Free WiFi, Pool",7.73,Presidential Suite,4,3.6,1:00 PM,12:00 PM,Thursday,0,1,84,4459
Hotel Bliss 4,Ahmedabad,"Airport Shuttle, Restaurant, Spa, Pet Friendly",9.28,Standard,2,3.0,11:00 AM,11:00 AM,Monday,0,0,24,2478
Hotel Horizon 28,Delhi,"Pet Friendly, Spa, Gym, Parking, Airport Shuttle",11.7,Deluxe,3,4.0,1:00 PM,1:00 PM,Saturday,1,1,77,3130
Hotel Oasis 70,Jaipur,"Pet Friendly, Pool",13.75,Standard,2,3.6,2:00 PM,11:00 AM,Friday,0,0,48,2754
Hotel Grand 21,Pune,"Gym, Free WiFi, Pool, Airport Shuttle, Parking",8.96,Presidential Suite,2,4.0,11:00 AM,2:00 PM,Friday,0,1,20,2415
Hotel Heritage 60,Chennai,"Parking, Bar",4.08,Standard,2,2.6,11:00 AM,1:00 PM,Saturday,1,0,24,2800
Hotel Palm 71,Jaipur,"Pool, Business Center, Free WiFi, Gym, Parking",5.35,Suite,3,3.0,1:00 PM,12:00 PM,Thursday,0,0,32,3613
Hotel Metro 83,Pune,"Parking, Spa",7.56,Deluxe,2,3.2,2:00 PM,12:00 PM,Thursday,0,0,86,2705
Hotel Sunrise 6,Pune,"Parking, Business Center, Restaurant, Spa",3.33,Presidential Suite,3,3.8,2:00 PM,12:00 PM,Saturday,1,0,76,3391
Hotel Palm 99,Jaipur,"Gym, Pet Friendly, Spa, Restaurant",21.53,Suite,3,3.4,11:00 AM,1:00 PM,Wednesday,1,1,60,3555
Hotel Palm 72,Jaipur,"Pet Friendly, Restaurant, Gym",3.24,Standard,2,2.7,12:00 PM,2:00 PM,Thursday,1,1,34,2852
Hotel Serenity 91,Kolkata,"Pet Friendly, Parking",2.16,Suite,5,4.9,2:00 PM,11:00 AM,Tuesday,0,1,66,5966
Hotel Crimson 53,Ahmedabad,"Free WiFi, Parking",6.66,Deluxe,5,5.0,1:00 PM,2:00 PM,Monday,0,1,81,5801
Hotel Regency 24,Delhi,"Gym, Parking, Free WiFi",24.7,Executive,3,4.5,12:00 PM,1:00 PM,Friday,0,1,81,3518
Hotel Vista 71,Kolkata,"Business Center, Gym, Pool, Parking, Restaurant",1.4,Suite,5,3.9,2:00 PM,11:00 AM,Thursday,1,0,88,5325
Hotel Regency 1,Ahmedabad,"Gym, Restaurant, Bar, Parking, Pool",15.79,Standard,4,4.5,12:00 PM,2:00 PM,Monday,1,1,29,4809
Hotel Regency 79,Jaipur,"Business Center, Parking, Spa, Bar, Free WiFi",15.3,Standard,3,4.5,2:00 PM,2:00 PM,Tuesday,0,0,74,3443
Hotel Horizon 32,Bangalore,"Free WiFi, Bar, Airport Shuttle, Parking, Spa",24.45,Suite,4,4.6,1:00 PM,2:00 PM,Monday,1,0,77,4709
Hotel Palm 40,Pune,"Parking, Free WiFi, Airport Shuttle, Restaurant, Gym",24.29,Standard,5,4.2,12:00 PM,2:00 PM,Monday,1,1,82,4955
Hotel Horizon 72,Goa,"Pet Friendly, Business Center, Restaurant, Free WiFi, Airport Shuttle",9.08,Standard,3,3.4,2:00 PM,12:00 PM,Wednesday,0,0,33,3263
Hotel Crimson 23,Bangalore,"Parking, Business Center, Spa, Free WiFi, Airport Shuttle",2.9,Executive,2,2.6,12:00 PM,12:00 PM,Thursday,1,1,69,2471
Hotel Plaza 68,Kolkata,"Spa, Airport Shuttle, Restaurant",10.79,Standard,5,4.3,2:00 PM,1:00 PM,Sunday,1,1,94,5502
Hotel Heritage 37,Delhi,"Pet Friendly, Parking, Airport Shuttle, Bar",16.24,Suite,5,3.9,11:00 AM,1:00 PM,Tuesday,0,0,91,5284
Hotel Grand 52,Ahmedabad,"Pool, Parking, Bar, Pet Friendly",16.0,Deluxe,5,4.8,11:00 AM,1:00 PM,Friday,1,1,40,5743
Hotel Sapphire 54,Goa,"Pet Friendly, Gym",24.1,Executive,4,2.8,11:00 AM,1:00 PM,Monday,0,1,65,3610
Hotel Sunrise 31,Ahmedabad,"Restaurant, Free WiFi, Bar",2.22,Deluxe,3,3.7,12:00 PM,12:00 PM,Monday,0,0,34,4121
Hotel Euphoria 59,Goa,"Airport Shuttle, Pool, Gym, Bar",10.04,Standard,4,2.6,12:00 PM,1:00 PM,Wednesday,1,1,29,4736
Hotel Emerald 10,Pune,"Airport Shuttle, Free WiFi",10.89,Suite,3,3.3,2:00 PM,2:00 PM,Saturday,0,1,21,3395
Hotel Vista 85,Bangalore,"Airport Shuttle, Bar",12.45,Executive,4,3.7,11:00 AM,1:00 PM,Wednesday,0,1,44,4215
Hotel Magnolia 83,Ahmedabad,"Free WiFi, Restaurant, Pet Friendly, Parking",24.29,Standard,3,4.3,2:00 PM,12:00 PM,Thursday,0,1,30,2951
Hotel Sapphire 28,Chennai,"Gym, Pool, Spa, Free WiFi",5.32,Deluxe,2,2.8,2:00 PM,11:00 AM,Thursday,1,1,67,2074
Hotel Royal 10,Jaipur,"Airport Shuttle, Pet Friendly, Pool",12.71,Suite,3,2.6,12:00 PM,2:00 PM,Thursday,1,1,37,3541
Hotel Plaza 59,Delhi,"Parking, Free WiFi, Pool, Spa",21.97,Deluxe,5,2.9,1:00 PM,12:00 PM,Saturday,0,0,57,5144
Hotel Sunrise 20,Mumbai,"Pet Friendly, Business Center, Bar, Parking",20.81,Executive,4,4.0,2:00 PM,1:00 PM,Saturday,0,1,55,4809
Hotel Royal 52,Pune,"Business Center, Free WiFi, Pool",20.71,Presidential Suite,3,3.3,12:00 PM,1:00 PM,Monday,1,1,45,3577
Hotel Euphoria 77,Hyderabad,"Business Center, Free WiFi",10.93,Executive,3,3.8,2:00 PM,11:00 AM,Thursday,0,0,96,3278
Hotel Sunrise 85,Jaipur,"Restaurant, Bar, Gym",23.04,Suite,4,2.5,12:00 PM,11:00 AM,Monday,0,0,28,4076
Hotel Oasis 23,Delhi,"Spa, Parking",10.73,Deluxe,2,3.9,11:00 AM,1:00 PM,Thursday,1,1,70,2178
Hotel Heritage 61,Ahmedabad,"Parking, Free WiFi, Business Center, Pet Friendly, Airport Shuttle",4.9,Deluxe,5,2.9,2:00 PM,12:00 PM,Monday,0,0,77,5709
Hotel Lagoon 75,Goa,"Pet Friendly, Parking, Bar, Restaurant",8.86,Presidential Suite,3,4.7,12:00 PM,11:00 AM,Monday,0,0,61,4226
Hotel Palm 50,Hyderabad,"Business Center, Parking",1.04,Suite,2,4.7,1:00 PM,2:00 PM,Thursday,0,0,63,3275
Hotel Royal 9,Jaipur,"Bar, Restaurant, Free WiFi, Airport Shuttle, Gym",6.83,Deluxe,5,3.3,11:00 AM,11:00 AM,Wednesday,0,0,96,5594
Hotel Regency 17,Bangalore,"Parking, Pool",20.74,Deluxe,3,2.7,11:00 AM,11:00 AM,Thursday,0,1,53,3054
Hotel Palm 43,Jaipur,"Restaurant, Business Center",20.43,Executive,2,4.6,2:00 PM,2:00 PM,Sunday,0,1,38,2598
Hotel Regency 81,Delhi,"Business Center, Spa",8.87,Presidential Suite,4,2.6,2:00 PM,1:00 PM,Monday,1,0,48,4706
Hotel Serenity 35,Kolkata,"Pet Friendly, Spa",23.44,Suite,5,4.6,12:00 PM,12:00 PM,Sunday,0,1,35,4987
Hotel Grand 77,Bangalore,"Pool, Gym, Restaurant, Free WiFi, Airport Shuttle",18.34,Presidential Suite,3,4.0,1:00 PM,11:00 AM,Sunday,1,0,32,3191
Hotel Moonlight 67,Goa,"Restaurant, Pool",22.91,Standard,5,4.7,12:00 PM,11:00 AM,Wednesday,1,0,89,5860
Hotel Crimson 12,Bangalore,"Business Center, Airport Shuttle, Spa",17.88,Executive,5,4.7,2:00 PM,12:00 PM,Friday,0,0,86,5140
Hotel Royal 80,Jaipur,"Business Center, Airport Shuttle, Free WiFi, Spa, Gym",22.2,Executive,3,3.9,1:00 PM,1:00 PM,Wednesday,1,1,96,2918
Hotel Grand 94,Jaipur,"Free WiFi, Pool",7.95,Executive,4,2.8,1:00 PM,2:00 PM,Tuesday,0,1,25,3914
Hotel Royal 42,Chennai,"Pet Friendly, Restaurant, Spa, Parking, Gym",16.23,Executive,4,4.4,1:00 PM,2:00 PM,Monday,0,1,50,4663
Hotel Regency 61,Chennai,"Pool, Restaurant, Gym",9.61,Standard,4,3.1,11:00 AM,1:00 PM,Sunday,0,0,41,4458
Hotel Palm 51,Delhi,"Parking, Bar",21.06,Presidential Suite,3,3.4,11:00 AM,11:00 AM,Sunday,1,0,31,2802
Hotel Emerald 85,Jaipur,"Free WiFi, Parking, Pet Friendly, Spa, Business Center",13.36,Suite,5,3.6,12:00 PM,1:00 PM,Tuesday,0,1,67,5099
Hotel Euphoria 2,Kolkata,"Spa, Pool",8.66,Suite,5,4.9,11:00 AM,11:00 AM,Friday,1,1,25,6073
Hotel Bliss 60,Hyderabad,"Airport Shuttle, Restaurant, Pool, Free WiFi",16.06,Executive,2,3.5,11:00 AM,1:00 PM,Thursday,1,0,52,1974
Hotel Moonlight 16,Delhi,"Restaurant, Airport Shuttle, Parking, Pool",0.53,Deluxe,4,2.6,11:00 AM,12:00 PM,Thursday,1,1,70,4874
Hotel Serenity 59,Jaipur,"Airport Shuttle, Restaurant",2.22,Suite,5,4.4,11:00 AM,11:00 AM,Sunday,1,1,66,6041
Hotel Palm 18,Pune,"Pet Friendly, Free WiFi, Bar",14.93,Deluxe,5,2.9,1:00 PM,11:00 AM,Friday,1,0,75,4814
Hotel Lagoon 57,Kolkata,"Parking, Free WiFi",23.52,Standard,4,4.4,12:00 PM,1:00 PM,Saturday,1,0,91,4838
Hotel Sapphire 85,Ahmedabad,"Parking, Airport Shuttle, Gym, Spa, Free WiFi",21.01,Suite,5,4.7,11:00 AM,12:00 PM,Sunday,0,1,70,5293
Hotel Regency 74,Chennai,"Business Center, Restaurant",4.99,Executive,3,3.2,2:00 PM,11:00 AM,Monday,1,0,75,3370
Hotel Bliss 94,Kolkata,"Free WiFi, Parking, Pet Friendly",10.75,Suite,4,3.4,11:00 AM,1:00 PM,Sunday,1,1,48,4116
Hotel Regency 69,Jaipur,"Bar, Business Center, Free WiFi",2.55,Standard,4,4.6,11:00 AM,1:00 PM,Saturday,1,1,93,4842
Hotel Royal 45,Ahmedabad,"Pool, Gym, Airport Shuttle",5.24,Executive,2,3.1,12:00 PM,12:00 PM,Friday,0,0,100,2452
